Колонка 1:
    DIESEL, 25 литра, 2021-03-14T12:37:02
    PETROL, 13 литра, 2021-03-14T12:37:13
    GAS, 30 литра, 2021-03-14T12:37:48
    PETROL, 34 литра, 2021-03-14T12:37:58
    GAS, 12 литра, 2021-03-14T12:38:13
    PETROL, 29 литра, 2021-03-14T12:38:23
    DIESEL, 16 литра, 2021-03-14T12:38:33
    GAS, 15 литра, 2021-03-14T12:43:51
    PETROL, 23 литра, 2021-03-14T12:44:05
    GAS, 12 литра, 2021-03-14T12:44:15
    DIESEL, 38 литра, 2021-03-14T12:44:25
    DIESEL, 38 литра, 2021-03-14T12:44:35
    PETROL, 13 литра, 2021-03-14T12:44:55
    PETROL, 35 литра, 2021-03-14T12:45:10
    GAS, 21 литра, 2021-03-14T12:45:30
    GAS, 25 литра, 2021-03-14T12:45:40
    GAS, 22 литра, 2021-03-14T12:45:50
Колонка 2:
    DIESEL, 20 литра, 2021-03-14T12:37:18
    DIESEL, 19 литра, 2021-03-14T12:37:28
    PETROL, 20 литра, 2021-03-14T12:37:38
    PETROL, 38 литра, 2021-03-14T12:37:53
    GAS, 14 литра, 2021-03-14T12:38:03
    GAS, 26 литра, 2021-03-14T12:38:18
    PETROL, 37 литра, 2021-03-14T12:43:40
    DIESEL, 18 литра, 2021-03-14T12:44
    PETROL, 36 литра, 2021-03-14T12:44:30
    PETROL, 21 литра, 2021-03-14T12:44:45
    PETROL, 38 литра, 2021-03-14T12:45
    DIESEL, 37 литра, 2021-03-14T12:45:15
    PETROL, 30 литра, 2021-03-14T12:45:25
Колонка 3:
    DIESEL, 20 литра, 2021-03-14T12:37:05
    PETROL, 25 литра, 2021-03-14T12:37:23
    PETROL, 15 литра, 2021-03-14T12:37:33
    DIESEL, 25 литра, 2021-03-14T12:37:43
    PETROL, 27 литра, 2021-03-14T12:38:08
    DIESEL, 20 литра, 2021-03-14T12:38:28
    DIESEL, 16 литра, 2021-03-14T12:43:48
    GAS, 21 литра, 2021-03-14T12:44:10
    DIESEL, 31 литра, 2021-03-14T12:44:40
    DIESEL, 37 литра, 2021-03-14T12:44:50
    DIESEL, 29 литра, 2021-03-14T12:45:05
    PETROL, 34 литра, 2021-03-14T12:45:35
    GAS, 20 литра, 2021-03-14T12:45:45
Колонка 4:
    DIESEL, 19 литра, 2021-03-14T12:43:37
    PETROL, 21 литра, 2021-03-14T12:44:20
    GAS, 22 литра, 2021-03-14T12:45:20
    PETROL, 34 литра, 2021-03-14T12:45:55
